applicant_id,age,monthly_income,monthly_expenses,existing_debt,monthly_debt_payment,savings_balance,credit_score,previous_loans,loans_repaid,loans_defaulted,late_payments,credit_history_years,requested_loan_amount,loan_term_months,interest_rate,employment_years,collateral_value,employment_type,education,loan_purpose,loan_type,loan_outcome
10001,28,350000,180000,500000,70000,800000,720,3,3,0,1,5,1500000,24,15,4,2000000,Salaried,Graduate,Business,Personal,PAID
10002,35,520000,210000,650000,85000,1250000,748,4,4,0,0,9,3000000,36,14,7,4000000,Salaried,Graduate,Home Purchase,Mortgage,PAID
10003,42,680000,290000,900000,120000,1800000,735,6,6,0,2,13,5000000,48,16,12,7500000,Salaried,Postgraduate,Business,Business,REPAID
10004,31,280000,150000,300000,45000,600000,701,2,2,0,1,4,1000000,18,15,3,1200000,Salaried,Graduate,Education,Education,PAID
10005,47,850000,360000,1200000,160000,2400000,760,8,8,0,1,18,7000000,60,17,14,10000000,Business Owner,Postgraduate,Business,Business,PAID
10006,26,240000,130000,180000,30000,450000,690,2,2,0,2,4,800000,18,16,2,900000,Salaried,Graduate,Vehicle Purchase,Auto,PAID
10007,39,460000,200000,700000,90000,1100000,715,5,5,0,1,10,2200000,30,15,8,3000000,Business Owner,Graduate,Home Construction,Mortgage,REPAID
10008,52,900000,400000,1500000,210000,3200000,770,9,9,0,2,21,9000000,72,18,16,15000000,Salaried,Postgraduate,Home Purchase,Mortgage,PAID
10009,33,390000,190000,400000,55000,950000,728,3,3,0,0,7,1800000,24,14,5,2200000,Salaried,Graduate,Personal,Personal,PAID
10010,44,610000,250000,800000,105000,1500000,742,6,6,0,1,15,3500000,36,15,11,5000000,Business Owner,Graduate,Agriculture,Agriculture,REPAID
10011,30,320000,190000,700000,95000,250000,655,3,2,0,4,4,1800000,24,20,2,900000,Salaried,Graduate,Business,Personal,LATE
10012,37,450000,290000,1100000,160000,350000,640,5,4,0,5,8,3000000,36,22,6,1500000,Business Owner,Diploma,Business,Business,LATE
10013,24,210000,155000,450000,65000,120000,630,2,1,0,6,3,1200000,24,21,1,300000,Salaried,Graduate,Education,Education,LATE
10014,41,580000,320000,1400000,185000,500000,675,7,6,0,4,12,4500000,48,23,9,2500000,Business Owner,Graduate,Vehicle Purchase,Auto,RESTRUCTURED
10015,29,300000,210000,800000,120000,180000,648,2,2,0,3,5,2500000,36,24,3,700000,Salaried,Diploma,Debt Consolidation,Personal,LATE
10016,49,720000,410000,1800000,245000,700000,660,8,7,0,5,17,6000000,60,25,13,3500000,Business Owner,Graduate,Business Expansion,Business,RESTRUCTURED
10017,34,410000,260000,900000,130000,420000,670,4,3,0,4,7,2800000,36,21,6,1800000,Salaried,Graduate,Medical,Personal,LATE
10018,46,540000,330000,1300000,175000,600000,682,6,5,0,3,14,4000000,48,22,10,2800000,Business Owner,Diploma,Agriculture,Agriculture,RESTRUCTURED
10019,27,260000,170000,600000,80000,210000,645,2,1,0,5,3,1600000,24,23,2,500000,Salaried,Graduate,Vehicle Purchase,Auto,LATE
10020,55,800000,500000,2200000,300000,900000,668,10,8,0,6,24,8000000,72,24,19,5000000,Business Owner,Graduate,Home Construction,Mortgage,RESTRUCTURED
10021,23,180000,160000,900000,130000,40000,520,1,0,1,8,2,2000000,36,28,1,0,Contract,High School,Personal,Personal,DEFAULTED
10022,38,350000,300000,1600000,220000,150000,548,4,2,2,10,6,3500000,48,30,4,500000,Business Owner,Diploma,Business,Business,DEFAULTED
10023,45,420000,380000,2400000,330000,180000,575,7,4,2,9,15,6000000,60,29,10,1000000,Self-employed,High School,Debt Consolidation,Personal,DEFAULTED
10024,31,230000,220000,1000000,150000,50000,590,3,1,2,12,4,1800000,36,31,2,300000,Contract,Diploma,Vehicle Purchase,Auto,DEFAULTED
10025,58,650000,520000,3100000,420000,250000,510,9,5,3,14,27,9000000,72,32,20,1800000,Business Owner,High School,Business Expansion,Business,DEFAULTED
10026,26,200000,180000,700000,110000,30000,565,2,1,1,7,3,1500000,24,29,1,0,Unemployed,High School,Medical,Personal,DEFAULTED
10027,40,390000,360000,1900000,270000,100000,602,5,2,2,11,9,4000000,48,30,7,700000,Self-employed,Diploma,Agriculture,Agriculture,DEFAULTED
10028,50,500000,450000,2700000,380000,220000,535,8,3,3,16,18,7000000,60,33,14,1200000,Business Owner,High School,Home Construction,Mortgage,DEFAULTED
10029,33,280000,260000,1200000,180000,60000,580,3,1,2,13,5,2500000,36,28,4,300000,Contract,Diploma,Education,Education,DEFAULTED
10030,36,310000,300000,1500000,210000,80000,615,4,2,2,10,8,3000000,48,27,5,400000,Self-employed,Graduate,Personal,Personal,DEFAULTED
